frog_number,validator,species_code
Frog_138,V2,B
Frog_138,V3,B
Frog_139,V1,B
Frog_139,V2,BB
Frog_139,V3,B
Frog_140,V1,BB
Frog_140,V2,BB
Frog_140,V3,B
Frog_141,V1,B
Frog_141,V2,B
Frog_141,V3,B
Frog_142,V1,B
Frog_142,V2,B
Frog_142,V3,B
Frog_143,V1,B
Frog_143,V2,B
Frog_143,V3,B
Frog_144,V1,B
Frog_144,V2,B
Frog_144,V3,B
Frog_145,V1,B
Frog_145,V2,B
Frog_145,V3,B
Frog_146,V1,BB
Frog_146,V2,BB
Frog_146,V3,B
Frog_147,V1,W
Frog_147,V2,W
Frog_147,V3,W
Frog_148,V1,B
Frog_148,V2,B
Frog_148,V3,B
Frog_149,V1,BB
Frog_149,V2,BB
Frog_149,V3,BB
Frog_150,V1,B
Frog_150,V2,B
Frog_150,V3,B
Frog_151,V1,F1
Frog_151,V2,B
Frog_151,V3,B
Frog_152,V1,B
Frog_152,V2,B
Frog_152,V3,B
Frog_153,V1,B
Frog_153,V2,B
Frog_153,V3,B
Frog_154,V1,BB
Frog_154,V2,BW
Frog_154,V3,F1
Frog_155,V1,B
Frog_155,V2,B
Frog_155,V3,B
Frog_156,V1,W
Frog_156,V2,W
Frog_156,V3,W
Frog_157,V1,B
Frog_157,V2,B
Frog_157,V3,B
Frog_158,V1,W
Frog_158,V2,W
Frog_158,V3,BW
Frog_159,V1,B
Frog_159,V2,B
Frog_159,V3,B
Frog_160,V1,B
Frog_160,V2,B
Frog_160,V3,B
Frog_161,V1,B
Frog_161,V2,B
Frog_161,V3,B
Frog_162,V1,W
Frog_162,V2,W
Frog_162,V3,W
Frog_163,V1,W
Frog_163,V2,W
Frog_163,V3,W
Frog_164,V1,F1
Frog_164,V2,BW
Frog_164,V3,F1
Frog_165,V1,W
Frog_165,V2,W
Frog_165,V3,W
Frog_166,V1,B
Frog_166,V2,B
Frog_166,V3,B
Frog_167,V1,B
Frog_167,V2,B
Frog_167,V3,B
Frog_168,V1,B
Frog_168,V2,B
Frog_168,V3,B
Frog_169,V1,B
Frog_169,V2,B
Frog_169,V3,B
Frog_170,V1,B
Frog_170,V2,B
Frog_170,V3,B
Frog_171,V1,BW
Frog_171,V2,W
Frog_171,V3,F1
Frog_172,V1,BB
Frog_172,V2,BB
Frog_172,V3,BB
Frog_173,V1,W
Frog_173,V2,W
Frog_173,V3,W
Frog_174,V1,W
Frog_174,V2,W
Frog_174,V3,W
Frog_175,V1,B
Frog_175,V2,B
Frog_175,V3,B
Frog_176,V1,B
Frog_176,V2,B
Frog_176,V3,B
Frog_177,V1,W
Frog_177,V2,W
Frog_177,V3,W
Frog_178,V1,B
Frog_178,V2,BB
Frog_178,V3,B
Frog_179,V1,B
Frog_179,V2,B
Frog_179,V3,B
Frog_180,V1,B
Frog_180,V2,B
Frog_180,V3,B
Frog_181,V1,B
Frog_181,V2,B
Frog_181,V3,B
Frog_182,V1,W
Frog_182,V2,W
Frog_182,V3,W
Frog_183,V1,B
Frog_183,V2,B
Frog_183,V3,B
Frog_184,V1,W
Frog_184,V2,W
Frog_184,V3,W
Frog_185,V1,F1
Frog_185,V2,W
Frog_185,V3,F1
Frog_186,V1,B
Frog_186,V2,B
Frog_186,V3,B
Frog_187,V1,B
Frog_187,V2,B
Frog_187,V3,B
Frog_188,V1,BW
Frog_188,V2,W
Frog_188,V3,W
Frog_189,V1,B
Frog_189,V2,B
Frog_189,V3,B
Frog_190,V1,B
Frog_190,V2,B
Frog_190,V3,B
Frog_191,V1,B
Frog_191,V2,B
Frog_191,V3,B
Frog_192,V1,BB
Frog_192,V2,BB
Frog_192,V3,F1
Frog_193,V1,BB
Frog_193,V2,B
Frog_193,V3,B
Frog_194,V1,B
Frog_194,V2,B
Frog_194,V3,B
Frog_195,V1,W
Frog_195,V2,W
Frog_195,V3,W
Frog_196,V1,B
Frog_196,V2,B
Frog_196,V3,B
Frog_197,V1,B
Frog_197,V2,B
Frog_197,V3,B
Frog_198,V1,W
Frog_198,V2,W
Frog_198,V3,W
Frog_199,V1,BW
Frog_199,V2,W
Frog_199,V3,W
Frog_200,V1,F1
Frog_200,V2,BB
Frog_200,V3,F1
Frog_201,V1,B
Frog_201,V2,B
Frog_201,V3,B
Frog_202,V1,B
Frog_202,V2,B
Frog_202,V3,B
Frog_203,V1,B
Frog_203,V2,B
Frog_203,V3,B
Frog_204,V1,B
Frog_204,V2,B
Frog_204,V3,B
Frog_205,V1,W
Frog_205,V2,W
Frog_205,V3,W
Frog_206,V1,W
Frog_206,V2,W
Frog_206,V3,W
Frog_207,V1,B
Frog_207,V2,B
Frog_207,V3,B
Frog_208,V1,W
Frog_208,V2,W
Frog_208,V3,W
Frog_209,V1,B
Frog_209,V2,B
Frog_209,V3,B
Frog_210,V1,W
Frog_210,V2,W
Frog_210,V3,W
Frog_211,V1,B
Frog_211,V2,B
Frog_211,V3,B
Frog_212,V1,B
Frog_212,V2,B
Frog_212,V3,B
Frog_213,V1,B
Frog_213,V2,B
Frog_213,V3,B
Frog_214,V1,F2
Frog_214,V2,BW
Frog_214,V3,BB
Frog_215,V1,W
Frog_215,V2,W
Frog_215,V3,W
Frog_216,V1,BW
Frog_216,V2,W
Frog_216,V3,F1
Frog_218,V1,W
Frog_218,V2,W
Frog_218,V3,W
Frog_219,V1,B
Frog_219,V2,B
Frog_219,V3,B
Frog_220,V1,B
Frog_220,V2,B
Frog_220,V3,B
Frog_221,V1,B
Frog_221,V2,B
Frog_221,V3,B
Frog_222,V1,BB
Frog_222,V2,BB
Frog_222,V3,B
Frog_223,V1,W
Frog_223,V2,W
Frog_223,V3,W
Frog_224,V1,B
Frog_224,V2,B
Frog_224,V3,B
Frog_225,V1,BB
Frog_225,V2,B
Frog_225,V3,B
Frog_226,V1,B
Frog_226,V2,B
Frog_226,V3,B
Frog_227,V1,B
Frog_227,V2,B
Frog_227,V3,B
Frog_228,V1,B
Frog_228,V2,B
Frog_228,V3,B
Frog_229,V1,B
Frog_229,V2,B
Frog_229,V3,B
Frog_230,V1,B
Frog_230,V2,B
Frog_230,V3,B
Frog_231,V1,B
Frog_231,V2,B
Frog_231,V3,B
Frog_232,V1,B
Frog_232,V2,B
Frog_232,V3,B
Frog_233,V1,W
Frog_233,V2,W
Frog_233,V3,W
Frog_234,V1,W
Frog_234,V2,W
Frog_234,V3,W
Frog_235,V1,B
Frog_235,V2,B
Frog_235,V3,B
Frog_236,V1,W
Frog_236,V2,W
Frog_236,V3,W
Frog_237,V1,W
Frog_237,V2,W
Frog_237,V3,W
Frog_238,V1,B
Frog_238,V2,B
Frog_238,V3,B
Frog_239,V1,W
Frog_239,V2,W
Frog_239,V3,W
Frog_240,V1,BW
Frog_240,V2,W
Frog_240,V3,BW
Frog_241,V1,W
Frog_241,V2,W
Frog_241,V3,W
Frog_242,V1,B
Frog_242,V2,B
Frog_242,V3,B
Frog_243,V1,B
Frog_243,V2,B
Frog_243,V3,B
Frog_244,V1,B
Frog_244,V2,B
Frog_244,V3,B
Frog_245,V1,W
Frog_245,V2,W
Frog_245,V3,W
Frog_246,V1,B
Frog_246,V2,B
Frog_246,V3,B
Frog_247,V1,W
Frog_247,V2,W
Frog_247,V3,W
Frog_248,V1,B
Frog_248,V2,B
Frog_248,V3,B
Frog_249,V1,F2
Frog_249,V2,BB
Frog_249,V3,BB
Frog_250,V1,B
Frog_250,V2,B
Frog_250,V3,B
Frog_251,V1,B
Frog_251,V2,B
Frog_251,V3,B
Frog_252,V1,B
Frog_252,V2,B
Frog_252,V3,B
Frog_253,V1,F1
Frog_253,V2,BB
Frog_253,V3,B
Frog_254,V1,B
Frog_254,V2,B
Frog_254,V3,B
Frog_255,V1,W
Frog_255,V2,W
Frog_255,V3,W
